date,airport_code,flights_count
2019-01-01,NRT,305
2019-01-01,HND,310
2019-01-01,KIX,134
2019-01-01,FUK,93
2019-01-01,CTS,29
2019-01-02,NRT,301
2019-01-02,HND,300
2019-01-02,KIX,153
2019-01-02,FUK,85
2019-01-02,CTS,32
2019-01-03,NRT,294
2019-01-03,HND,305
2019-01-03,KIX,133
2019-01-03,FUK,89
2019-01-03,CTS,31
2019-01-04,NRT,294
2019-01-04,HND,274
2019-01-04,KIX,128
2019-01-04,FUK,84
2019-01-04,CTS,31
2019-01-05,NRT,320
2019-01-05,HND,296
2019-01-05,KIX,153
2019-01-05,FUK,88
2019-01-05,CTS,34
2019-01-06,NRT,344
2019-01-06,HND,313
2019-01-06,KIX,164
2019-01-06,FUK,97
2019-01-06,CTS,32
2019-01-07,NRT,330
2019-01-07,HND,258
2019-01-07,KIX,128
2019-01-07,FUK,76
2019-01-07,CTS,31
2019-01-08,NRT,338
2019-01-08,HND,277
2019-01-08,KIX,149
2019-01-08,FUK,91
2019-01-08,CTS,32
2019-01-09,NRT,338
2019-01-09,HND,295
2019-01-09,KIX,126
2019-01-09,FUK,92
2019-01-09,CTS,32
2019-01-10,NRT,339
2019-01-10,HND,309
2019-01-10,KIX,136
2019-01-10,FUK,79
2019-01-10,CTS,31
2019-01-11,NRT,322
2019-01-11,HND,274
2019-01-11,KIX,136
2019-01-11,FUK,78
2019-01-11,CTS,29
2019-01-12,NRT,379
2019-01-12,HND,332
2019-01-12,KIX,160
2019-01-12,FUK,102
2019-01-12,CTS,29
2019-01-13,NRT,317
2019-01-13,HND,341
2019-01-13,KIX,141
2019-01-13,FUK,85
2019-01-13,CTS,36
2019-01-14,NRT,297
2019-01-14,HND,287
2019-01-14,KIX,140
2019-01-14,FUK,89
2019-01-14,CTS,31
2019-01-15,NRT,347
2019-01-15,HND,298
2019-01-15,KIX,142
2019-01-15,FUK,90
2019-01-15,CTS,32
2019-01-16,NRT,300
2019-01-16,HND,293
2019-01-16,KIX,148
2019-01-16,FUK,85
2019-01-16,CTS,31
2019-01-17,NRT,304
2019-01-17,HND,279
2019-01-17,KIX,134
2019-01-17,FUK,78
2019-01-17,CTS,27
2019-01-18,NRT,319
2019-01-18,HND,263
2019-01-18,KIX,145
2019-01-18,FUK,81
2019-01-18,CTS,31
2019-01-19,NRT,351
2019-01-19,HND,330
2019-01-19,KIX,143
2019-01-19,FUK,88
2019-01-19,CTS,31
2019-01-20,NRT,372
2019-01-20,HND,307
2019-01-20,KIX,167
2019-01-20,FUK,100
2019-01-20,CTS,33
2019-01-21,NRT,327
2019-01-21,HND,272
2019-01-21,KIX,131
2019-01-21,FUK,86
2019-01-21,CTS,30
2019-01-22,NRT,330
2019-01-22,HND,303
2019-01-22,KIX,131
2019-01-22,FUK,83
2019-01-22,CTS,30
2019-01-23,NRT,327
2019-01-23,HND,312
2019-01-23,KIX,127
2019-01-23,FUK,85
2019-01-23,CTS,28
2019-01-24,NRT,337
2019-01-24,HND,306
2019-01-24,KIX,142
2019-01-24,FUK,91
2019-01-24,CTS,27
2019-01-25,NRT,335
2019-01-25,HND,292
2019-01-25,KIX,134
2019-01-25,FUK,81
2019-01-25,CTS,30
2019-01-26,NRT,373
2019-01-26,HND,340
2019-01-26,KIX,148
2019-01-26,FUK,85
2019-01-26,CTS,31
2019-01-27,NRT,348
2019-01-27,HND,325
2019-01-27,KIX,157
2019-01-27,FUK,94
2019-01-27,CTS,33
2019-01-28,NRT,348
2019-01-28,HND,262
2019-01-28,KIX,137
2019-01-28,FUK,83
2019-01-28,CTS,32
2019-01-29,NRT,325
2019-01-29,HND,276
2019-01-29,KIX,133
2019-01-29,FUK,77
2019-01-29,CTS,30
2019-01-30,NRT,331
2019-01-30,HND,289
2019-01-30,KIX,147
2019-01-30,FUK,80
2019-01-30,CTS,29
2019-01-31,NRT,348
2019-01-31,HND,281
2019-01-31,KIX,146
2019-01-31,FUK,89
2019-01-31,CTS,32
2019-02-01,NRT,288
2019-02-01,HND,263
2019-02-01,KIX,126
2019-02-01,FUK,88
2019-02-01,CTS,29
2019-02-02,NRT,380
2019-02-02,HND,310
2019-02-02,KIX,155
2019-02-02,FUK,91
2019-02-02,CTS,32
2019-02-03,NRT,336
2019-02-03,HND,308
2019-02-03,KIX,139
2019-02-03,FUK,96
2019-02-03,CTS,30
2019-02-04,NRT,296
2019-02-04,HND,258
2019-02-04,KIX,148
2019-02-04,FUK,78
2019-02-04,CTS,27
2019-02-05,NRT,318
2019-02-05,HND,292
2019-02-05,KIX,134
2019-02-05,FUK,79
2019-02-05,CTS,30
2019-02-06,NRT,323
2019-02-06,HND,294
2019-02-06,KIX,150
2019-02-06,FUK,92
2019-02-06,CTS,28
2019-02-07,NRT,302
2019-02-07,HND,266
2019-02-07,KIX,142
2019-02-07,FUK,81
2019-02-07,CTS,27
2019-02-08,NRT,335
2019-02-08,HND,304
2019-02-08,KIX,133
2019-02-08,FUK,90
2019-02-08,CTS,31
2019-02-09,NRT,342
2019-02-09,HND,338
2019-02-09,KIX,168
2019-02-09,FUK,90
2019-02-09,CTS,29
2019-02-10,NRT,382
2019-02-10,HND,325
2019-02-10,KIX,142
2019-02-10,FUK,96
2019-02-10,CTS,31
2019-02-11,NRT,312
2019-02-11,HND,287
2019-02-11,KIX,137
2019-02-11,FUK,79
2019-02-11,CTS,27
2019-02-12,NRT,307
2019-02-12,HND,295
2019-02-12,KIX,133
2019-02-12,FUK,77
2019-02-12,CTS,29
2019-02-13,NRT,317
2019-02-13,HND,297
2019-02-13,KIX,135
2019-02-13,FUK,87
2019-02-13,CTS,27
2019-02-14,NRT,327
2019-02-14,HND,269
2019-02-14,KIX,133
2019-02-14,FUK,81
2019-02-14,CTS,29
2019-02-15,NRT,298
2019-02-15,HND,294
2019-02-15,KIX,153
2019-02-15,FUK,89
2019-02-15,CTS,29
2019-02-16,NRT,386
2019-02-16,HND,285
2019-02-16,KIX,163
2019-02-16,FUK,87
2019-02-16,CTS,34
2019-02-17,NRT,375
2019-02-17,HND,283
2019-02-17,KIX,168
2019-02-17,FUK,97
2019-02-17,CTS,32
2019-02-18,NRT,313
2019-02-18,HND,267
2019-02-18,KIX,151
2019-02-18,FUK,85
2019-02-18,CTS,29
2019-02-19,NRT,331
2019-02-19,HND,303
2019-02-19,KIX,150
2019-02-19,FUK,85
2019-02-19,CTS,29
2019-02-20,NRT,340
2019-02-20,HND,270
2019-02-20,KIX,149
2019-02-20,FUK,83
2019-02-20,CTS,31
2019-02-21,NRT,335
2019-02-21,HND,307
2019-02-21,KIX,135
2019-02-21,FUK,88
2019-02-21,CTS,32
2019-02-22,NRT,323
2019-02-22,HND,308
2019-02-22,KIX,131
2019-02-22,FUK,88
2019-02-22,CTS,27
2019-02-23,NRT,365
2019-02-23,HND,327
2019-02-23,KIX,159
2019-02-23,FUK,86
2019-02-23,CTS,35
2019-02-24,NRT,367
2019-02-24,HND,292
2019-02-24,KIX,160
2019-02-24,FUK,85
2019-02-24,CTS,34
2019-02-25,NRT,297
2019-02-25,HND,279
2019-02-25,KIX,127
2019-02-25,FUK,85
2019-02-25,CTS,28
2019-02-26,NRT,289
2019-02-26,HND,264
2019-02-26,KIX,143
2019-02-26,FUK,77
2019-02-26,CTS,31
2019-02-27,NRT,326
2019-02-27,HND,303
2019-02-27,KIX,132
2019-02-27,FUK,87
2019-02-27,CTS,31
2019-02-28,NRT,307
2019-02-28,HND,267
2019-02-28,KIX,153
2019-02-28,FUK,77
2019-02-28,CTS,30
2019-03-01,NRT,349
2019-03-01,HND,281
2019-03-01,KIX,127
2019-03-01,FUK,89
2019-03-01,CTS,29
2019-03-02,NRT,339
2019-03-02,HND,296
2019-03-02,KIX,160
2019-03-02,FUK,90
2019-03-02,CTS,30
2019-03-03,NRT,378
2019-03-03,HND,343
2019-03-03,KIX,164
2019-03-03,FUK,86
2019-03-03,CTS,30
2019-03-04,NRT,289
2019-03-04,HND,304
2019-03-04,KIX,145
2019-03-04,FUK,79
2019-03-04,CTS,28
2019-03-05,NRT,349
2019-03-05,HND,296
2019-03-05,KIX,144
2019-03-05,FUK,87
2019-03-05,CTS,27
2019-03-06,NRT,345
2019-03-06,HND,262
2019-03-06,KIX,139
2019-03-06,FUK,87
2019-03-06,CTS,30
2019-03-07,NRT,313
2019-03-07,HND,271
2019-03-07,KIX,126
2019-03-07,FUK,86
2019-03-07,CTS,31
2019-03-08,NRT,289
